index,affluence,cultivation,employment,education,status,morality,leadership,prosociality,eo,global_citizenship,_stack,commonappid
184,-.11743141,.120251,-.12765302,.049366262,-.02286426,.12928493,.12838694,.21524529,-.0086481767,-.0069866935,2,14134379
185,.1769813,.12617724,-.049030788,.091682509,.089664847,.11874855,.0090605924,-.0042028879,.28944516,.1149087,3,14134379
186,.023881825,.1067886,.060482118,.077281706,.095367514,.088549927,.15010767,.097341657,.19169325,.090972073,1,14140374
187,.10881664,.15714599,-.063003525,.089916371,.024809424,.16316441,.11027559,.09050139,.14371695,.10462259,2,14140374
188,.11219809,.15209098,-.017412681,.21717465,.14497772,.10854603,.070573904,.057537198,.29069188,.086882621,3,14140374
189,-.011916321,.085048161,.062595829,.063041598,-.020920923,.154615,.047666498,.068085916,.088335104,.0491396,1,14144261
190,.16164739,.10551557,-.032075595,.086368538,.10478052,.10885086,.0022392897,.020298317,.18733323,-.0026759969,2,14144261
191,.15676901,.21790126,-.0056883986,.1782773,.10447452,.19384588,.1155723,.028996194,.078088954,.053282276,3,14144261
192,-.050624177,.1180575,.025075624,.022218814,-.093609937,.090882614,.098084211,.2022683,.054439221,.059106264,1,14146312
193,-.009397435,.0062231929,.00083040155,-.0096269026,.055148214,.042039547,-.055209197,.014688576,.055202782,.013090516,2,14146312
194,.037827376,.087203436,-.018999225,.13264725,.077174135,.04262061,-.0028438843,-.068794176,.053185444,.04784289,3,14146312
195,.044179339,.027725821,.040641122,.077236719,-.015797786,.11852677,-.052857578,-.029521229,.11420882,.027810412,1,14146773
196,.055028431,.063435242,.019394193,-.044080567,-.16319491,.084702462,.02197548,-.21134788,-.10861987,.036224488,2,14146773
197,.14413789,.19622445,-.043612096,.13920777,.053727821,.19697109,.11833833,.12363318,.17648515,.013352593,3,14146773
198,-.062221859,-.00093568768,.10697833,.064503863,-.021973338,.11531194,-.06786631,-.10164388,.10679119,-.043389861,1,14153315
199,-.076023392,-.0023099708,.051700778,-.047626197,-.040796023,-.079642728,.061636582,.078258827,-.007512561,.038689587,2,14153315
200,-.051502325,.029681517,.065078862,.10466775,.024562553,.083210982,.015677812,.057330649,.046548519,.027026897,3,14153315
201,.014261146,.070619665,-.0039676037,.0877361,.10941364,.068963572,.17808954,.12368789,.18894733,.056038052,1,14155416
202,.055599194,.067688428,-.016724961,.042149559,.061954837,.027346462,.10687062,.18288113,.12871182,.079398535,2,14155416
203,.080093354,.096009843,.020389954,.087406419,.17476159,.11883098,.08934252,.16064505,.15676174,.025079006,3,14155416
204,.16142116,.17068306,.0038766372,.077673025,-.014314032,.076259367,.075319119,.020103836,.16437936,.071453005,1,14158848
205,.12475568,.061579566,.045820627,.068907306,.16747025,.084489346,.064360939,.13190842,.28296077,.091853052,2,14158848
206,.19079782,.2492822,-.019536156,.20581132,.015610309,.18200766,.071892597,.081058934,.17120577,.12341652,3,14158848
207,-.046315376,.059868783,.0067401202,.16081679,.098926239,.14936006,-.057241008,-.084860817,.11103304,.040743921,1,14161897
208,.081011906,.077227198,-.10251268,.09445025,.051758058,.037461519,.031739082,.069351144,.16850998,.20403479,2,14161897
209,.13738018,.099201195,.021316061,.1035781,.074584402,.074602902,.0092959702,.047545087,.12247259,.014963538,3,14161897
210,.045619365,.094251163,.0096272565,.15444939,.071364775,.20040235,.048863228,-.086568221,.11519146,-.018728135,1,14166659
211,.011762721,.13902941,-.033300377,.07289616,-.068341069,.16354524,.091938138,.089666344,.073346734,.071480662,2,14166659
212,.12567803,.097361274,-.025603678,.14005551,.089789137,.031222941,.023479193,.10705922,.18452266,.097424068,3,14166659
213,-.062352613,.09788321,-.061548941,.11624983,.059491958,.12500611,-.0083145518,.076298386,.097546794,-.026534922,1,14168008
214,-.024697939,.10978682,-.065336175,.015770517,-.15779948,.092799291,.19346558,.0022635004,.0015064783,.04292322,2,14168008
215,.030765453,-.039103102,.036496773,-.029590147,.078246027,-.032167342,-.025949601,.056893215,.031313322,.036366504,3,14168008
216,-.012511192,.094875954,.052150179,.070645966,-.075173974,.078562856,.0099266721,-.0055287331,.052411523,.071455039,1,14169830
217,-.0047275536,.075071171,.044763986,.032827985,.051116314,.081398569,-.056770954,-.046104562,.15179196,-.010850682,2,14169830
218,.16988565,.14969204,.072426446,.12648614,.12539238,.14789306,.042823426,.084480025,.17164029,.04502048,3,14169830
219,.059690077,.15541232,.00079394388,.1307383,-.0014009594,.18960585,.0090140756,-.014485938,.15701018,.054738697,1,14170689
220,-.032295,.047998682,-.020470273,.082565859,-.0048119449,.062206384,.13855131,.056352392,-.081769258,.083233483,2,14170689
221,.10539059,.067028977,.0084682275,.12818511,.19958521,.11138645,-.0045134854,.14938746,.16274403,.066872507,3,14170689
222,-.034622695,.068388537,-.15198044,.026690882,.021211948,.029513668,.05542447,.13433945,.12754473,.054487027,1,14172791
223,.10642055,.06018091,.048245549,.042005409,.092208765,.012736538,.049009021,.040499911,.25752851,.070277266,2,14172791
224,.047039136,.15874474,.053854648,.13139115,.12694113,.085486405,.075224034,.061172601,.23150778,.081441894,3,14172791
225,.010258333,.066126026,-.044107966,.12751384,.044244315,.08636234,.0625863,.033778608,.23444502,-.029512329,1,14173129
226,-.0010393248,.047721989,-.0080105988,.084494583,.069772802,.17442013,.094026908,.05772721,.11803592,.10995314,2,14173129
